ID,X,Y,W,H,C_X,CY
375,198.0,608.0,7.0,7.0,202.0,612.0
376,624.0,537.0,7.0,7.0,628.0,540.0
377,440.0,86.0,7.0,7.0,444.0,90.0
378,56.0,536.0,7.0,7.0,60.0,540.0
379,194.0,38.0,7.0,7.0,198.0,42.0
380,322.0,126.0,7.0,7.0,326.0,130.0
381,560.0,546.0,7.0,7.0,564.0,550.0
382,328.0,188.0,7.0,7.0,332.0,192.0
383,448.0,460.0,7.0,7.0,452.0,464.0
384,36.0,554.0,7.0,7.0,40.0,558.0
385,648.0,554.0,7.0,7.0,652.0,558.0
386,448.0,466.0,7.0,7.0,452.0,470.0
387,248.0,454.0,7.0,7.0,252.0,458.0
388,148.0,426.0,7.0,7.0,152.0,430.0
389,674.0,446.0,7.0,7.0,678.0,450.0
390,720.0,70.0,7.0,7.0,724.0,74.0
391,15.0,441.0,7.0,7.0,18.0,444.0
392,108.0,622.0,7.0,7.0,112.0,626.0
393,282.0,44.0,7.0,7.0,286.0,48.0
394,296.0,550.0,7.0,7.0,300.0,554.0
395,408.0,1.0,7.0,7.0,412.0,4.0
396,-0.0,634.0,6.0,6.0,3.0,638.0
397,532.0,548.0,7.0,7.0,536.0,552.0
398,372.0,450.0,7.0,7.0,376.0,454.0
399,354.0,132.0,7.0,7.0,358.0,136.0
400,158.0,420.0,7.0,7.0,162.0,424.0
401,688.0,146.0,7.0,7.0,692.0,150.0
402,735.0,537.0,7.0,7.0,738.0,540.0
403,426.0,220.0,7.0,7.0,430.0,224.0
404,534.0,504.0,7.0,7.0,538.0,508.0
405,88.0,90.0,7.0,7.0,92.0,94.0
406,390.0,76.0,7.0,7.0,394.0,80.0
407,138.0,490.0,7.0,7.0,142.0,494.0
408,244.0,586.0,7.0,7.0,248.0,590.0
409,587.0,306.0,7.0,7.0,590.0,310.0
410,390.0,516.0,7.0,7.0,394.0,520.0
411,614.0,64.0,7.0,7.0,618.0,68.0
412,190.0,516.0,7.0,7.0,194.0,520.0
413,414.0,106.0,7.0,7.0,418.0,110.0
414,778.0,329.0,7.0,7.0,782.0,332.0
415,596.0,302.0,7.0,7.0,600.0,306.0
416,700.0,584.0,7.0,7.0,704.0,588.0
417,180.0,98.0,7.0,7.0,184.0,102.0
418,248.0,55.0,7.0,7.0,252.0,58.0
419,276.0,570.0,7.0,7.0,280.0,574.0
420,348.0,496.0,7.0,7.0,352.0,500.0
421,540.0,514.0,7.0,7.0,544.0,518.0
422,32.0,62.0,7.0,7.0,36.0,66.0
423,295.0,572.0,7.0,7.0,298.0,576.0
424,493.0,767.0,7.0,7.0,496.0,770.0
425,262.0,574.0,7.0,7.0,266.0,578.0
426,254.0,56.0,7.0,7.0,258.0,60.0
427,446.0,82.0,7.0,7.0,450.0,86.0
428,750.0,504.0,7.0,7.0,754.0,508.0
429,640.0,80.0,7.0,7.0,644.0,84.0
430,114.0,496.0,7.0,7.0,118.0,500.0
431,614.0,52.0,7.0,7.0,618.0,56.0
432,124.0,590.0,7.0,7.0,128.0,594.0
433,98.0,364.0,7.0,7.0,102.0,368.0
434,532.0,400.0,7.0,7.0,536.0,404.0
435,216.0,464.0,7.0,7.0,220.0,468.0
436,184.0,150.0,7.0,7.0,188.0,154.0
437,426.0,396.0,7.0,7.0,430.0,400.0
438,470.0,466.0,7.0,7.0,474.0,470.0
439,646.0,470.0,7.0,7.0,650.0,474.0
440,237.0,558.0,7.0,7.0,240.0,562.0
441,120.0,532.0,7.0,7.0,124.0,536.0
442,110.0,558.0,7.0,7.0,114.0,562.0
443,474.0,504.0,7.0,7.0,478.0,508.0
444,446.0,120.0,7.0,7.0,450.0,124.0
445,374.0,474.0,7.0,7.0,378.0,478.0
446,678.0,118.0,7.0,7.0,682.0,122.0
447,172.0,118.0,7.0,7.0,176.0,122.0
448,636.0,68.0,7.0,7.0,640.0,72.0
449,760.0,248.0,7.0,7.0,764.0,252.0
450,184.0,118.0,7.0,7.0,188.0,122.0
451,278.0,92.0,7.0,7.0,282.0,96.0
452,176.0,94.0,7.0,7.0,180.0,98.0
453,636.0,592.0,7.0,7.0,640.0,596.0
454,534.0,524.0,7.0,7.0,538.0,528.0
455,428.0,96.0,7.0,7.0,432.0,100.0
456,100.0,522.0,7.0,7.0,104.0,526.0
457,626.0,482.0,7.0,7.0,630.0,486.0
458,601.0,127.0,7.0,7.0,604.0,130.0
459,414.0,48.0,7.0,7.0,418.0,52.0
460,306.0,494.0,7.0,7.0,310.0,498.0
461,234.0,548.0,7.0,7.0,238.0,552.0
462,412.0,150.0,7.0,7.0,416.0,154.0
463,58.0,710.0,7.0,7.0,62.0,714.0
464,207.0,507.0,7.0,7.0,210.0,510.0
465,560.0,778.0,7.0,7.0,564.0,782.0
466,592.0,222.0,7.0,7.0,596.0,226.0
467,704.0,299.0,7.0,7.0,708.0,302.0
468,694.0,358.0,7.0,7.0,698.0,362.0
469,504.0,180.0,7.0,7.0,508.0,184.0
