ID,X,Y,W,H,C_X,CY
312,696.0,720.0,7.0,7.0,700.0,724.0
313,688.0,482.0,7.0,7.0,692.0,486.0
314,40.0,736.0,7.0,7.0,44.0,740.0
315,694.0,612.0,7.0,7.0,698.0,616.0
316,186.0,734.0,7.0,7.0,190.0,738.0
317,450.0,554.0,7.0,7.0,454.0,558.0
318,236.0,748.0,7.0,7.0,240.0,752.0
319,546.0,130.0,7.0,7.0,550.0,134.0
320,118.0,568.0,7.0,7.0,122.0,572.0
321,468.0,182.0,7.0,7.0,472.0,186.0
322,674.0,496.0,7.0,7.0,678.0,500.0
323,374.0,496.0,7.0,7.0,378.0,500.0
324,742.0,604.0,7.0,7.0,746.0,608.0
325,680.0,498.0,7.0,7.0,684.0,502.0
326,418.0,250.0,7.0,7.0,422.0,254.0
327,22.0,182.0,7.0,7.0,26.0,186.0
328,78.0,488.0,7.0,7.0,82.0,492.0
329,586.0,268.0,7.0,7.0,590.0,272.0
330,114.0,560.0,7.0,7.0,118.0,564.0
331,496.0,140.0,7.0,7.0,500.0,144.0
332,410.0,368.0,7.0,7.0,414.0,372.0
333,298.0,490.0,7.0,7.0,302.0,494.0
334,708.0,486.0,7.0,7.0,712.0,490.0
335,666.0,138.0,7.0,7.0,670.0,142.0
336,146.0,140.0,7.0,7.0,150.0,144.0
337,688.0,202.0,7.0,7.0,692.0,206.0
338,106.0,738.0,7.0,7.0,110.0,742.0
339,244.0,698.0,7.0,7.0,248.0,702.0
340,578.0,190.0,7.0,7.0,582.0,194.0
341,452.0,484.0,7.0,7.0,456.0,488.0
342,616.0,742.0,7.0,7.0,620.0,746.0
343,540.0,560.0,7.0,7.0,544.0,564.0
344,702.0,142.0,7.0,7.0,706.0,146.0
345,428.0,556.0,7.0,7.0,432.0,560.0
346,282.0,492.0,7.0,7.0,286.0,496.0
347,610.0,732.0,7.0,7.0,614.0,736.0
348,736.0,142.0,7.0,7.0,740.0,146.0
349,782.0,502.0,7.0,7.0,786.0,506.0
350,392.0,150.0,7.0,7.0,396.0,154.0
351,564.0,706.0,7.0,7.0,568.0,710.0
352,358.0,582.0,7.0,7.0,362.0,586.0
353,172.0,600.0,7.0,7.0,176.0,604.0
354,554.0,166.0,7.0,7.0,558.0,170.0
355,432.0,764.0,7.0,7.0,436.0,768.0
356,618.0,232.0,7.0,7.0,622.0,236.0
357,636.0,768.0,7.0,7.0,640.0,772.0
358,418.0,518.0,7.0,7.0,422.0,522.0
359,598.0,790.0,7.0,7.0,602.0,794.0
360,372.0,520.0,7.0,7.0,376.0,524.0
361,510.0,772.0,7.0,7.0,514.0,776.0
362,488.0,788.0,7.0,7.0,492.0,792.0
363,693.0,786.0,7.0,7.0,696.0,790.0
364,566.0,256.0,7.0,7.0,570.0,260.0
365,74.0,588.0,7.0,7.0,78.0,592.0
366,510.0,254.0,7.0,7.0,514.0,258.0
367,528.0,522.0,7.0,7.0,532.0,526.0
368,132.0,784.0,7.0,7.0,136.0,788.0
369,54.0,256.0,7.0,7.0,58.0,260.0
370,462.0,194.0,7.0,7.0,466.0,198.0
371,476.0,526.0,7.0,7.0,480.0,530.0
372,152.0,714.0,7.0,7.0,156.0,718.0
373,36.0,236.0,7.0,7.0,40.0,240.0
374,514.0,704.0,7.0,7.0,518.0,708.0
375,782.0,572.0,7.0,7.0,786.0,576.0
376,568.0,762.0,7.0,7.0,572.0,766.0
377,132.0,602.0,7.0,7.0,136.0,606.0
378,685.0,719.0,7.0,7.0,688.0,722.0
379,142.0,152.0,7.0,7.0,146.0,156.0
380,750.0,718.0,7.0,7.0,754.0,722.0
381,700.0,502.0,7.0,7.0,704.0,506.0
382,568.0,754.0,7.0,7.0,572.0,758.0
383,547.0,123.0,7.0,7.0,550.0,126.0
384,78.0,548.0,7.0,7.0,82.0,552.0
385,744.0,154.0,7.0,7.0,748.0,158.0
386,108.0,154.0,7.0,7.0,112.0,158.0
387,90.0,756.0,7.0,7.0,94.0,760.0
388,520.0,198.0,7.0,7.0,524.0,202.0
389,118.0,91.0,7.0,7.0,122.0,94.0
390,380.0,246.0,7.0,7.0,384.0,250.0
391,164.0,544.0,7.0,7.0,168.0,548.0
392,122.0,544.0,7.0,7.0,126.0,548.0
393,374.0,602.0,7.0,7.0,378.0,606.0
394,66.0,758.0,7.0,7.0,70.0,762.0
395,450.0,580.0,7.0,7.0,454.0,584.0
396,0.0,758.0,7.0,7.0,4.0,762.0
397,398.0,248.0,7.0,7.0,402.0,252.0
398,136.0,260.0,7.0,7.0,140.0,264.0
399,502.0,156.0,7.0,7.0,506.0,160.0
