ID,X,Y,W,H,C_X,CY
0,616,2,8,8,620,6
1,85,10,8,8,89,14
2,592,14,9,9,597,18
3,748,22,11,11,754,28
4,461,26,8,8,465,30
5,777,35,8,8,781,39
6,34,27,16,16,42,35
7,114,36,11,11,120,41
8,317,49,10,10,322,54
9,576,64,11,11,581,70
10,614,69,8,8,618,73
11,574,73,8,8,578,77
12,570,66,15,15,578,73
13,562,75,8,8,566,79
14,462,82,8,8,466,86
15,720,88,9,9,725,93
16,700,116,11,11,706,121
17,388,128,11,11,393,133
18,145,135,8,8,149,139
19,83,146,8,8,87,150
20,746,150,23,23,758,162
21,504,166,9,9,508,170
22,317,174,8,8,321,178
23,230,179,18,18,239,188
24,597,195,8,8,601,199
25,5,201,8,8,9,205
26,13,243,8,8,17,247
27,611,246,8,8,615,250
28,95,248,16,16,103,256
29,501,262,8,8,505,266
30,212,264,10,10,217,269
31,195,271,8,8,199,275
32,503,278,8,8,507,282
33,94,280,9,9,98,285
34,192,284,9,9,196,289
35,524,291,8,8,528,295
36,326,290,19,19,335,300
37,575,310,8,8,579,314
38,752,318,13,13,759,325
39,512,397,8,8,516,401
40,772,395,12,12,778,401
41,493,406,8,8,497,410
42,751,421,18,18,760,430
43,709,431,20,20,719,441
44,74,459,8,8,78,463
45,540,477,8,8,544,481
46,585,486,8,8,589,490
47,468,491,8,8,472,495
48,477,497,10,10,482,502
49,184,496,10,10,189,501
50,518,507,8,8,522,511
51,787,526,12,12,793,532
52,246,530,10,10,251,535
53,694,540,8,8,698,544
54,766,548,10,10,771,553
55,644,576,19,19,653,585
56,571,574,22,22,582,585
57,538,591,8,8,542,595
58,556,607,8,8,560,611
59,512,606,9,9,517,610
60,294,617,8,8,298,621
61,648,620,12,12,654,626
62,589,626,10,10,594,631
63,172,637,10,10,177,642
64,478,647,8,8,482,651
65,471,654,8,8,475,658
67,52,668,10,10,57,673
68,722,671,12,12,728,677
69,218,675,8,8,222,679
71,258,694,8,8,262,698
72,501,700,10,10,506,705
73,741,704,10,10,746,709
74,335,706,10,10,340,711
75,654,696,26,26,667,709
76,388,710,12,12,394,716
77,344,718,11,11,350,723
78,418,720,9,9,422,725
79,320,721,20,20,330,731
80,387,734,8,8,391,738
81,274,745,8,8,278,749
82,146,747,8,8,150,751
83,342,729,28,28,356,743
84,385,750,8,8,389,754
85,161,764,10,10,166,769
86,610,771,8,8,614,775
87,630,786,8,8,634,790
88,137,34,12,12,143,40
89,214,102,9,9,219,107
90,16,524,9,9,21,529
91,298,585,10,10,303,590
92,483,332,8,8,487,336
93,568,390,9,9,573,394
94,513,434,10,10,518,439
95,748,192,12,12,754,198
96,761,4,14,14,768,11
97,87,45,8,8,91,49
98,148,80,11,11,153,86
99,202,186,9,9,207,191
100,189,360,10,10,194,365
101,371,560,8,8,375,564
102,639,448,10,10,644,453
103,525,711,10,10,530,716
104,750,618,10,10,755,623
105,790,670,10,10,795,675
106,789,349,12,12,795,355
107,690,210,10,10,695,215
108,720,752,9,9,725,756
109,25,54,20,19,35,63
110,100,294,13,13,106,300
111,94,732,10,12,99,738
112,45,731,13,12,51,737
113,612,362,10,10,617,367
114,725,0,12,12,731,6
115,194,4,10,10,199,9
116,252,8,9,9,257,13
117,275,14,8,8,279,18
118,514,2,22,22,525,13
119,616,16,11,11,621,21
120,406,18,10,10,411,23
121,714,16,13,13,721,22
122,325,7,24,24,337,19
123,506,23,8,8,510,27
124,639,21,16,16,647,29
125,552,23,16,16,560,31
126,480,26,15,15,488,33
127,302,32,10,10,307,37
128,618,32,10,10,623,37
129,182,32,12,12,188,38
130,347,40,10,10,352,45
131,714,41,10,10,719,46
132,104,42,9,9,109,46
133,416,36,17,17,425,44
134,97,45,10,10,102,50
135,746,44,14,14,753,51
136,269,51,8,8,273,55
137,453,51,8,8,457,55
138,60,42,19,19,69,51
139,146,50,13,13,152,56
140,687,56,10,10,692,61
141,221,35,32,32,237,51
142,420,56,11,11,425,62
143,118,46,22,22,129,57
144,703,62,10,10,708,67
145,325,57,16,16,333,65
146,176,64,11,11,181,69
147,650,56,19,19,659,65
148,781,59,16,16,789,67
149,760,59,18,18,769,68
150,337,70,8,8,341,74
151,732,66,12,12,738,72
152,431,67,12,12,437,73
153,540,68,11,11,545,74
154,748,68,11,11,753,74
155,227,72,12,12,233,78
156,513,74,10,10,518,79
157,313,79,8,8,317,83
158,621,77,10,10,626,82
159,47,75,14,14,54,82
160,428,80,11,11,433,85
161,501,86,8,8,505,90
162,25,78,16,16,33,86
163,742,81,16,16,750,89
164,660,90,13,13,666,96
165,267,86,16,16,275,94
166,546,88,16,16,554,96
167,59,94,12,12,65,100
168,766,82,25,25,779,95
169,19,93,16,16,27,101
170,77,101,10,10,82,106
171,100,103,10,10,105,108
172,172,104,9,9,176,108
173,754,100,14,14,761,107
