ID,X,Y,W,H,C_X,CY
440,452.0,590.0,7.0,7.0,456.0,594.0
441,587.0,532.0,7.0,7.0,590.0,536.0
442,490.0,82.0,7.0,7.0,494.0,86.0
443,438.0,104.0,7.0,7.0,442.0,108.0
444,340.0,82.0,7.0,7.0,344.0,86.0
445,704.0,680.0,7.0,7.0,708.0,684.0
446,606.0,461.0,7.0,7.0,610.0,464.0
447,290.0,0.0,7.0,7.0,294.0,4.0
448,456.0,84.0,7.0,7.0,460.0,88.0
449,477.0,37.0,7.0,7.0,480.0,40.0
450,128.0,740.0,7.0,7.0,132.0,744.0
451,268.0,742.0,7.0,7.0,272.0,746.0
452,92.0,620.0,7.0,7.0,96.0,624.0
453,476.0,8.0,7.0,7.0,480.0,12.0
454,684.0,78.0,7.0,7.0,688.0,82.0
455,768.0,576.0,7.0,7.0,772.0,580.0
456,630.0,662.0,7.0,7.0,634.0,666.0
457,466.0,592.0,7.0,7.0,470.0,596.0
458,585.0,27.0,7.0,7.0,588.0,30.0
459,578.0,588.0,7.0,7.0,582.0,592.0
460,268.0,632.0,7.0,7.0,272.0,636.0
461,98.0,580.0,7.0,7.0,102.0,584.0
462,417.0,181.0,7.0,7.0,420.0,184.0
463,246.0,630.0,7.0,7.0,250.0,634.0
464,36.0,100.0,7.0,7.0,40.0,104.0
465,42.0,634.0,7.0,7.0,46.0,638.0
466,110.0,672.0,7.0,7.0,114.0,676.0
467,722.0,752.0,7.0,7.0,726.0,756.0
468,556.0,100.0,7.0,7.0,560.0,104.0
469,574.0,580.0,7.0,7.0,578.0,584.0
470,378.0,628.0,7.0,7.0,382.0,632.0
471,588.0,96.0,7.0,7.0,592.0,100.0
472,122.0,754.0,7.0,7.0,126.0,758.0
473,128.0,628.0,7.0,7.0,132.0,632.0
474,285.0,655.0,7.0,7.0,288.0,658.0
475,230.0,104.0,7.0,7.0,234.0,108.0
476,544.0,678.0,7.0,7.0,548.0,682.0
477,686.0,88.0,7.0,7.0,690.0,92.0
478,152.0,632.0,7.0,7.0,156.0,636.0
479,216.0,708.0,7.0,7.0,220.0,712.0
480,482.0,84.0,7.0,7.0,486.0,88.0
481,60.0,630.0,7.0,7.0,64.0,634.0
482,170.0,26.0,7.0,7.0,174.0,30.0
483,464.0,72.0,7.0,7.0,468.0,76.0
484,466.0,712.0,7.0,7.0,470.0,716.0
485,662.0,622.0,7.0,7.0,666.0,626.0
486,552.0,257.0,7.0,7.0,556.0,260.0
487,294.0,650.0,7.0,7.0,298.0,654.0
488,552.0,52.0,7.0,7.0,556.0,56.0
489,776.0,714.0,7.0,7.0,780.0,718.0
490,734.0,610.0,7.0,7.0,738.0,614.0
491,78.0,622.0,7.0,7.0,82.0,626.0
492,268.0,724.0,7.0,7.0,272.0,728.0
493,346.0,612.0,7.0,7.0,350.0,616.0
494,624.0,694.0,7.0,7.0,628.0,698.0
495,78.0,614.0,7.0,7.0,82.0,618.0
496,196.0,724.0,7.0,7.0,200.0,728.0
497,254.0,20.0,7.0,7.0,258.0,24.0
498,375.0,333.0,7.0,7.0,378.0,336.0
499,199.0,441.0,7.0,7.0,202.0,444.0
500,50.0,648.0,7.0,7.0,54.0,652.0
501,546.0,52.0,7.0,7.0,550.0,56.0
502,514.0,722.0,7.0,7.0,518.0,726.0
503,750.0,614.0,7.0,7.0,754.0,618.0
504,544.0,16.0,7.0,7.0,548.0,20.0
505,710.0,620.0,7.0,7.0,714.0,624.0
506,340.0,616.0,7.0,7.0,344.0,620.0
507,351.0,481.0,7.0,7.0,354.0,484.0
508,224.0,382.0,7.0,7.0,228.0,386.0
509,260.0,724.0,7.0,7.0,264.0,728.0
510,386.0,54.0,7.0,7.0,390.0,58.0
511,494.0,728.0,7.0,7.0,498.0,732.0
512,206.0,730.0,7.0,7.0,210.0,734.0
513,82.0,662.0,7.0,7.0,86.0,666.0
514,168.0,686.0,7.0,7.0,172.0,690.0
515,310.0,46.0,7.0,7.0,314.0,50.0
516,296.0,38.0,7.0,7.0,300.0,42.0
517,170.0,712.0,7.0,7.0,174.0,716.0
