ID,X,Y,W,H,C_X,CY
0,77,5,8,8,81,9
1,691,5,8,8,695,9
2,190,18,8,8,194,22
3,631,29,10,10,636,34
4,653,36,10,10,658,41
5,548,44,9,9,553,49
6,497,56,10,10,502,61
7,218,46,27,27,231,59
8,669,70,10,10,674,75
9,621,82,8,8,625,86
10,744,84,10,10,749,89
11,717,85,10,10,722,90
12,748,120,12,12,754,126
13,15,128,12,12,21,134
14,638,137,8,8,642,141
15,421,139,10,10,426,144
16,734,153,16,16,742,161
17,708,161,16,16,716,169
18,626,185,10,10,631,190
19,80,192,9,9,84,196
20,715,211,12,12,721,217
21,705,218,8,8,709,222
22,709,200,32,32,725,216
23,153,231,10,10,158,236
24,741,243,8,8,745,247
25,675,256,12,12,681,262
26,72,270,24,24,84,282
27,749,297,8,8,753,301
28,184,296,9,9,189,300
29,664,302,9,9,668,306
30,763,315,8,8,767,319
31,62,324,9,9,66,329
32,196,336,9,9,201,341
33,550,334,16,16,558,342
34,132,333,18,18,141,342
35,624,355,12,12,630,361
36,601,369,10,10,606,374
37,320,392,20,20,330,402
38,436,410,12,12,442,416
39,21,417,20,20,31,427
40,210,458,8,8,214,462
41,676,482,9,9,680,486
42,445,488,10,10,450,493
43,80,500,11,11,85,506
44,545,516,10,10,550,521
45,565,534,8,8,569,538
46,348,528,17,17,356,537
47,516,535,18,18,525,544
48,133,545,10,10,138,550
49,688,550,8,8,692,554
50,604,548,12,12,610,554
51,546,545,18,18,555,554
52,333,547,18,18,342,556
53,475,584,12,12,481,590
54,88,606,9,9,92,610
55,632,607,8,8,636,611
56,191,624,10,10,196,629
57,721,640,10,10,726,645
58,88,640,9,9,93,645
59,85,643,16,16,93,651
60,2,653,8,8,6,657
61,652,652,12,12,658,658
62,324,680,11,11,329,685
63,740,684,10,10,745,689
64,33,698,10,10,38,703
65,253,703,8,8,257,707
66,759,700,12,12,765,706
68,151,703,14,14,158,710
69,44,708,10,10,49,713
70,404,712,9,9,409,717
71,749,715,8,8,753,719
72,140,722,9,9,144,726
73,230,723,8,8,234,727
74,259,723,12,12,265,729
75,438,718,23,23,449,730
76,129,732,10,10,134,737
77,149,744,10,10,154,749
78,84,745,10,10,89,750
79,766,749,8,8,770,753
80,57,758,8,8,61,762
81,630,766,9,9,634,770
82,427,765,10,10,432,770
83,744,768,10,10,749,773
84,772,767,18,18,781,776
85,78,82,9,9,82,87
86,170,298,13,13,177,305
87,204,363,12,12,210,369
88,163,381,10,10,168,386
89,102,408,9,9,106,413
90,68,408,10,10,73,413
91,104,452,9,9,108,456
92,62,636,10,10,67,641
93,133,611,10,10,138,616
94,90,619,10,10,95,624
95,112,653,12,12,118,659
96,65,747,12,12,71,753
97,74,752,11,11,80,757
98,171,759,14,14,178,766
99,83,712,12,12,89,718
100,347,29,10,10,352,34
101,442,30,10,10,447,35
102,419,13,10,10,424,18
103,411,10,10,10,416,15
104,402,163,12,12,408,169
105,534,21,10,10,539,26
106,627,757,10,10,632,762
107,584,471,10,10,589,476
108,730,27,10,10,735,32
109,166,512,55,55,194,539
110,150,84,11,11,156,90
111,-5,552,48,48,19,576
112,598,90,9,9,603,94
113,599,95,8,8,603,99
114,605,92,10,10,610,97
115,644,300,8,8,648,304
116,271,350,16,16,279,358
117,301,362,26,26,314,375
118,219,481,36,34,237,498
119,233,541,13,14,239,548
120,376,631,45,47,398,654
121,648,561,12,12,654,567
122,569,245,23,23,580,256
123,682,75,11,11,687,80
124,727,1,10,10,732,6
125,116,11,10,10,121,16
126,596,10,11,11,601,16
127,787,14,8,8,791,18
128,616,12,11,11,622,17
129,53,15,8,8,57,19
130,63,11,12,12,69,17
131,580,19,8,8,584,23
132,742,6,23,23,753,17
133,497,7,22,22,508,18
134,774,20,10,10,779,25
135,169,27,8,8,173,31
136,310,11,24,24,322,23
137,361,21,16,16,369,29
138,66,28,9,9,70,33
139,755,29,10,10,760,34
140,157,30,10,10,162,35
141,250,28,13,13,257,35
142,560,30,13,13,566,37
143,90,32,11,11,96,38
144,241,39,8,8,245,43
145,144,24,23,23,156,35
146,89,42,8,8,93,46
147,186,33,18,18,195,42
148,733,43,8,8,737,47
149,708,36,17,17,716,45
150,455,44,12,12,461,50
151,287,37,20,20,297,47
152,596,46,11,11,602,52
153,208,42,15,15,216,50
154,437,48,12,12,443,54
155,512,47,12,12,518,53
156,256,50,11,11,262,56
157,102,53,10,10,107,58
158,758,52,11,11,764,57
159,472,49,18,18,481,58
160,785,57,10,10,790,62
161,394,48,21,21,405,59
162,200,60,9,9,204,65
163,369,60,10,10,374,65
164,40,60,9,9,45,65
165,543,59,12,12,549,65
166,55,59,12,12,61,65
167,732,60,15,15,740,67
168,295,64,10,10,300,69
169,164,60,15,15,172,68
170,256,66,13,13,262,72
171,594,68,11,11,600,74
172,478,64,16,16,486,72
173,130,59,22,22,141,70
174,619,59,22,22,630,70
175,395,72,10,10,400,77
176,692,70,12,12,698,76
177,314,72,12,12,320,78
178,220,76,9,9,225,81
179,118,82,15,15,126,89
180,418,55,44,44,440,77
181,190,79,22,22,201,90
182,503,79,24,24,515,91
183,476,74,29,29,490,88
184,405,94,10,10,410,99
185,96,86,19,19,106,96
186,529,95,12,12,535,101
187,180,96,11,11,185,102
188,662,91,18,18,671,100
189,243,99,12,12,249,105
190,609,106,10,10,614,111
191,635,105,16,16,643,113
192,162,101,20,20,172,111
193,448,104,19,19,457,113
194,59,114,10,10,64,119
195,404,112,13,13,410,118
196,540,116,9,9,544,121
197,558,116,10,10,563,121
198,602,118,9,9,606,122
199,2,120,10,10,7,125
200,721,111,22,22,732,122
201,484,116,19,19,494,125
202,765,111,24,24,777,123
203,502,116,24,24,514,128
204,119,116,24,24,131,128
205,680,85,58,58,709,114
206,173,137,10,10,178,142
207,73,126,22,22,84,137
208,585,135,12,12,591,141
209,474,140,9,9,478,144
210,448,140,11,11,454,145
211,537,133,22,22,548,144
212,395,146,10,10,400,151
213,756,142,16,16,764,150
214,42,140,18,18,51,149
215,498,152,9,9,502,157
216,160,152,11,11,166,157
217,28,152,12,12,34,158
218,124,156,10,10,129,161
219,92,141,24,24,104,153
220,424,156,11,11,429,161
221,544,160,9,9,548,165
222,436,160,11,11,441,166
223,578,162,14,14,585,169
224,33,164,12,12,39,170
225,656,164,12,12,662,170
