ID,X,Y,W,H,C_X,CY
476,512.0,512.0,7.0,7.0,516.0,516.0
477,482.0,114.0,7.0,7.0,486.0,118.0
478,424.0,190.0,7.0,7.0,428.0,194.0
479,770.0,145.0,7.0,7.0,774.0,148.0
480,706.0,530.0,7.0,7.0,710.0,534.0
481,610.0,630.0,7.0,7.0,614.0,634.0
482,196.0,462.0,7.0,7.0,200.0,466.0
483,70.0,740.0,7.0,7.0,74.0,744.0
484,224.0,790.0,7.0,7.0,228.0,794.0
485,388.0,462.0,7.0,7.0,392.0,466.0
486,360.0,302.0,7.0,7.0,364.0,306.0
487,484.0,696.0,7.0,7.0,488.0,700.0
488,516.0,586.0,7.0,7.0,520.0,590.0
489,558.0,696.0,7.0,7.0,562.0,700.0
490,748.0,170.0,7.0,7.0,752.0,174.0
491,742.0,276.0,7.0,7.0,746.0,280.0
492,129.0,491.0,7.0,7.0,132.0,494.0
493,282.0,210.0,7.0,7.0,286.0,214.0
494,502.0,170.0,7.0,7.0,506.0,174.0
495,172.0,788.0,7.0,7.0,176.0,792.0
496,486.0,302.0,7.0,7.0,490.0,306.0
497,248.0,740.0,7.0,7.0,252.0,744.0
498,284.0,283.0,7.0,7.0,288.0,286.0
499,608.0,212.0,7.0,7.0,612.0,216.0
500,180.0,150.0,7.0,7.0,184.0,154.0
501,166.0,500.0,7.0,7.0,170.0,504.0
502,281.0,199.0,7.0,7.0,284.0,202.0
503,30.0,304.0,7.0,7.0,34.0,308.0
504,444.0,750.0,7.0,7.0,448.0,754.0
505,251.0,356.0,7.0,7.0,254.0,360.0
506,570.0,152.0,7.0,7.0,574.0,156.0
507,213.0,555.0,7.0,7.0,216.0,558.0
508,14.0,58.0,7.0,7.0,18.0,62.0
509,636.0,214.0,7.0,7.0,640.0,218.0
510,205.0,375.0,7.0,7.0,208.0,378.0
511,284.0,536.0,7.0,7.0,288.0,540.0
512,558.0,548.0,7.0,7.0,562.0,552.0
513,187.0,352.0,7.0,7.0,190.0,356.0
514,546.0,226.0,7.0,7.0,550.0,230.0
515,726.0,156.0,7.0,7.0,730.0,160.0
516,266.0,156.0,7.0,7.0,270.0,160.0
517,124.0,158.0,7.0,7.0,128.0,162.0
518,704.0,160.0,7.0,7.0,708.0,164.0
519,781.0,-0.0,6.0,6.0,784.0,3.0
520,234.0,692.0,7.0,7.0,238.0,696.0
521,378.0,162.0,7.0,7.0,382.0,166.0
522,750.0,790.0,7.0,7.0,754.0,794.0
523,766.0,458.0,7.0,7.0,770.0,462.0
524,776.0,194.0,7.0,7.0,780.0,198.0
525,380.0,466.0,7.0,7.0,384.0,470.0
526,208.0,60.0,7.0,7.0,212.0,64.0
527,464.0,286.0,7.0,7.0,468.0,290.0
528,222.0,466.0,7.0,7.0,226.0,470.0
529,122.0,574.0,7.0,7.0,126.0,578.0
530,422.0,282.0,7.0,7.0,426.0,286.0
531,234.0,260.0,7.0,7.0,238.0,264.0
532,460.0,180.0,7.0,7.0,464.0,184.0
533,178.0,774.0,7.0,7.0,182.0,778.0
534,432.0,702.0,7.0,7.0,436.0,706.0
535,642.0,436.0,7.0,7.0,646.0,440.0
536,422.0,224.0,7.0,7.0,426.0,228.0
537,660.0,476.0,7.0,7.0,664.0,480.0
538,414.0,266.0,7.0,7.0,418.0,270.0
539,68.0,417.0,7.0,7.0,72.0,420.0
540,592.0,402.0,7.0,7.0,596.0,406.0
541,572.0,516.0,7.0,7.0,576.0,520.0
542,628.0,508.0,7.0,7.0,632.0,512.0
543,242.0,516.0,7.0,7.0,246.0,520.0
544,558.0,706.0,7.0,7.0,562.0,710.0
545,334.0,478.0,7.0,7.0,338.0,482.0
546,666.0,784.0,7.0,7.0,670.0,788.0
547,660.0,266.0,7.0,7.0,664.0,270.0
548,720.0,778.0,7.0,7.0,724.0,782.0
549,628.0,774.0,7.0,7.0,632.0,778.0
550,504.0,580.0,7.0,7.0,508.0,584.0
551,86.0,708.0,7.0,7.0,90.0,712.0
552,724.0,226.0,7.0,7.0,728.0,230.0
