ID,X,Y,W,H,C_X,CY
0,231,23,8,8,235,27
1,756,46,25,25,768,58
2,606,66,11,11,612,72
3,639,78,8,8,643,82
4,699,106,8,8,703,110
5,700,129,10,10,705,134
6,174,128,11,11,180,134
7,130,137,28,28,144,151
8,666,191,8,8,670,195
9,213,189,10,10,218,194
10,782,196,11,11,788,201
11,246,182,25,25,258,195
12,731,191,20,20,741,201
13,176,203,12,12,182,209
14,198,211,20,20,208,221
15,121,220,20,20,131,230
16,570,220,20,20,580,230
17,168,236,10,10,173,241
18,776,238,9,9,781,242
19,600,267,20,20,610,277
20,628,282,8,8,632,286
21,634,264,26,26,647,277
22,346,279,16,16,354,287
23,512,300,9,9,517,304
24,701,323,8,8,705,327
25,390,327,8,8,394,331
26,343,333,10,10,348,338
27,427,342,8,8,431,346
28,605,361,18,18,614,370
29,648,372,9,9,652,377
30,705,393,10,10,710,398
31,634,399,8,8,638,403
32,758,416,9,9,762,421
33,515,427,8,8,519,431
34,36,430,9,9,41,434
35,679,447,12,12,685,453
36,542,452,9,9,546,456
37,741,455,10,10,746,460
38,257,463,8,8,261,467
39,485,467,8,8,489,471
40,644,466,9,9,649,470
41,714,472,13,13,720,478
42,656,487,8,8,660,491
43,658,517,22,22,669,528
44,499,533,8,8,503,537
45,651,543,8,8,655,547
46,67,583,8,8,71,587
47,598,590,8,8,602,594
48,541,609,10,10,546,614
49,402,612,12,12,408,618
50,457,618,8,8,461,622
51,645,618,10,10,650,623
52,256,626,11,11,262,632
53,165,633,10,10,170,638
54,256,644,17,17,265,653
55,277,650,16,16,285,658
56,136,656,11,11,141,661
57,672,672,9,9,676,677
58,696,674,8,8,700,678
59,70,688,22,22,81,699
60,272,704,19,19,282,713
61,105,703,20,20,115,713
62,214,726,9,9,218,731
63,310,728,9,9,314,732
64,310,720,21,21,321,730
65,46,770,19,19,56,780
66,348,764,27,27,361,777
67,42,13,10,10,47,18
68,93,35,18,18,102,44
69,140,1,10,10,145,6
70,84,62,9,9,89,66
71,138,70,9,9,143,74
72,232,179,10,10,237,184
73,151,102,16,16,159,110
74,108,210,10,10,113,215
75,96,221,10,10,101,226
76,291,163,10,10,296,168
