ID,X,Y,W,H,C_X,CY
304,680.0,600.0,7.0,7.0,684.0,604.0
305,299.0,215.0,7.0,7.0,302.0,218.0
306,756.0,294.0,7.0,7.0,760.0,298.0
307,552.0,244.0,7.0,7.0,556.0,248.0
308,620.0,422.0,7.0,7.0,624.0,426.0
309,639.0,599.0,7.0,7.0,642.0,602.0
310,26.0,596.0,7.0,7.0,30.0,600.0
311,250.0,48.0,7.0,7.0,254.0,52.0
312,260.0,594.0,7.0,7.0,264.0,598.0
313,779.0,494.0,7.0,7.0,782.0,498.0
314,306.0,430.0,7.0,7.0,310.0,434.0
315,660.0,434.0,7.0,7.0,664.0,438.0
316,646.0,420.0,7.0,7.0,650.0,424.0
317,132.0,448.0,7.0,7.0,136.0,452.0
318,240.0,58.0,7.0,7.0,244.0,62.0
319,683.0,214.0,7.0,7.0,686.0,218.0
320,450.0,386.0,7.0,7.0,454.0,390.0
321,322.0,268.0,7.0,7.0,326.0,272.0
322,228.0,80.0,7.0,7.0,232.0,84.0
323,574.0,388.0,7.0,7.0,578.0,392.0
324,370.0,204.0,7.0,7.0,374.0,208.0
325,378.0,78.0,7.0,7.0,382.0,82.0
326,318.0,76.0,7.0,7.0,322.0,80.0
327,84.0,74.0,7.0,7.0,88.0,78.0
328,596.0,424.0,7.0,7.0,600.0,428.0
329,292.0,292.0,7.0,7.0,296.0,296.0
330,510.0,211.0,7.0,7.0,514.0,214.0
331,756.0,64.0,7.0,7.0,760.0,68.0
332,564.0,212.0,7.0,7.0,568.0,216.0
333,8.0,610.0,7.0,7.0,12.0,614.0
334,484.0,640.0,7.0,7.0,488.0,644.0
335,700.0,402.0,7.0,7.0,704.0,406.0
336,338.0,404.0,7.0,7.0,342.0,408.0
337,546.0,636.0,7.0,7.0,550.0,640.0
338,270.0,632.0,7.0,7.0,274.0,636.0
339,480.0,408.0,7.0,7.0,484.0,412.0
340,96.0,62.0,7.0,7.0,100.0,66.0
341,328.0,410.0,7.0,7.0,332.0,414.0
342,694.0,407.0,7.0,7.0,698.0,410.0
343,706.0,620.0,7.0,7.0,710.0,624.0
344,88.0,616.0,7.0,7.0,92.0,620.0
345,716.0,614.0,7.0,7.0,720.0,618.0
346,306.0,612.0,7.0,7.0,310.0,616.0
347,158.0,612.0,7.0,7.0,162.0,616.0
348,26.0,64.0,7.0,7.0,30.0,68.0
349,298.0,221.0,7.0,7.0,302.0,224.0
350,680.0,446.0,7.0,7.0,684.0,450.0
351,261.0,161.0,7.0,7.0,264.0,164.0
352,592.0,20.0,7.0,7.0,596.0,24.0
353,465.0,771.0,7.0,7.0,468.0,774.0
354,510.0,754.0,7.0,7.0,514.0,758.0
355,625.0,88.0,7.0,7.0,628.0,92.0
356,704.0,44.0,7.0,7.0,708.0,48.0
357,727.0,360.0,7.0,7.0,730.0,364.0
358,396.0,250.0,7.0,7.0,400.0,254.0
359,647.0,414.0,7.0,7.0,650.0,418.0
360,518.0,528.0,7.0,7.0,522.0,532.0
361,140.0,250.0,7.0,7.0,144.0,254.0
362,666.0,8.0,7.0,7.0,670.0,12.0
363,762.0,480.0,7.0,7.0,766.0,484.0
364,484.0,8.0,7.0,7.0,488.0,12.0
365,430.0,512.0,7.0,7.0,434.0,516.0
366,190.0,512.0,7.0,7.0,194.0,516.0
367,158.0,500.0,7.0,7.0,162.0,504.0
368,14.0,512.0,7.0,7.0,18.0,516.0
369,384.0,500.0,7.0,7.0,388.0,504.0
370,302.0,508.0,7.0,7.0,306.0,512.0
371,60.0,246.0,7.0,7.0,64.0,250.0
372,486.0,502.0,7.0,7.0,490.0,506.0
373,664.0,580.0,7.0,7.0,668.0,584.0
374,494.0,504.0,7.0,7.0,498.0,508.0
375,138.0,506.0,7.0,7.0,142.0,510.0
376,446.0,6.0,7.0,7.0,450.0,10.0
